DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,DSW,THC,LMS,SS,LX,YLG,CH,Q,q_t+1
0,0,0.1,0.27,0,1.42,0.5,62.73,0,0,0.1,0.27,0,1.42,0.5,61.46,0,0,2.2,4.5,6,1.42,0,60.2,0,0,2.6,0.7,1,1.42,6,61.15,0,0,2.6,0.7,1,1.42,6,61.15,0,0,2.6,0.7,1,1.42,6,62.1,0,0,9.3,6.2,6,1.42,6,65.4,0,0,0.85,2.6,8,1.42,0,68.7,0,0,0.85,2.6,8,1.42,0,72,0,0,0.7,1.8,0,0.1,0,79.36,0,0,0.7,1.8,0,0.1,0,86.73,0,0,0.7,1.8,0,0.1,0,94.1,105.55
0,0,0.1,0.27,0,1.42,0.5,61.46,0,0,2.2,4.5,6,1.42,0,60.2,0,0,2.6,0.7,1,1.42,6,61.15,0,0,2.6,0.7,1,1.42,6,62.1,0,0,2.6,0.7,1,1.42,6,62.1,0,0,9.3,6.2,6,1.42,6,65.4,0,0,0.85,2.6,8,1.42,0,68.7,0,0,0.85,2.6,8,1.42,0,72,0,0,0.7,1.8,0,0.1,0,79.36,0,0,0.7,1.8,0,0.1,0,86.73,0,0,0.7,1.8,0,0.1,0,94.1,0,0,0.7,1.8,0,0.1,0,105.55,117
0,0,2.2,4.5,6,1.42,0,60.2,0,0,2.6,0.7,1,1.42,6,61.15,0,0,2.6,0.7,1,1.42,6,62.1,0,0,9.3,6.2,6,1.42,6,65.4,0,0,9.3,6.2,6,1.42,6,65.4,0,0,0.85,2.6,8,1.42,0,68.7,0,0,0.85,2.6,8,1.42,0,72,0,0,0.7,1.8,0,0.1,0,79.36,0,0,0.7,1.8,0,0.1,0,86.73,0,0,0.7,1.8,0,0.1,0,94.1,0,0,0.7,1.8,0,0.1,0,105.55,0,0,0.7,1.8,0,0.1,0,117,123
0,0,2.6,0.7,1,1.42,6,61.15,0,0,2.6,0.7,1,1.42,6,62.1,0,0,9.3,6.2,6,1.42,6,65.4,0,0,0.85,2.6,8,1.42,0,68.7,0,0,0.85,2.6,8,1.42,0,68.7,0,0,0.85,2.6,8,1.42,0,72,0,0,0.7,1.8,0,0.1,0,79.36,0,0,0.7,1.8,0,0.1,0,86.73,0,0,0.7,1.8,0,0.1,0,94.1,0,0,0.7,1.8,0,0.1,0,105.55,0,0,0.7,1.8,0,0.1,0,117,0,0,0.7,1.8,0,0.1,0,123,129
0,0,2.6,0.7,1,1.42,6,62.1,0,0,9.3,6.2,6,1.42,6,65.4,0,0,0.85,2.6,8,1.42,0,68.7,0,0,0.85,2.6,8,1.42,0,72,0,0,0.85,2.6,8,1.42,0,72,0,0,0.7,1.8,0,0.1,0,79.36,0,0,0.7,1.8,0,0.1,0,86.73,0,0,0.7,1.8,0,0.1,0,94.1,0,0,0.7,1.8,0,0.1,0,105.55,0,0,0.7,1.8,0,0.1,0,117,0,0,0.7,1.8,0,0.1,0,123,19,13,0.7,0.1,0,0.1,0,129,126
0,0,9.3,6.2,6,1.42,6,65.4,0,0,0.85,2.6,8,1.42,0,68.7,0,0,0.85,2.6,8,1.42,0,72,0,0,0.7,1.8,0,0.1,0,79.36,0,0,0.7,1.8,0,0.1,0,79.36,0,0,0.7,1.8,0,0.1,0,86.73,0,0,0.7,1.8,0,0.1,0,94.1,0,0,0.7,1.8,0,0.1,0,105.55,0,0,0.7,1.8,0,0.1,0,117,0,0,0.7,1.8,0,0.1,0,123,19,13,0.7,0.1,0,0.1,0,129,0,0,0.7,0.1,0,0.1,0,126,123
0,0,0.85,2.6,8,1.42,0,68.7,0,0,0.85,2.6,8,1.42,0,72,0,0,0.7,1.8,0,0.1,0,79.36,0,0,0.7,1.8,0,0.1,0,86.73,0,0,0.7,1.8,0,0.1,0,86.73,0,0,0.7,1.8,0,0.1,0,94.1,0,0,0.7,1.8,0,0.1,0,105.55,0,0,0.7,1.8,0,0.1,0,117,0,0,0.7,1.8,0,0.1,0,123,19,13,0.7,0.1,0,0.1,0,129,0,0,0.7,0.1,0,0.1,0,126,0,0,0.7,0.1,0,0.1,0,123,131
0,0,0.85,2.6,8,1.42,0,72,0,0,0.7,1.8,0,0.1,0,79.36,0,0,0.7,1.8,0,0.1,0,86.73,0,0,0.7,1.8,0,0.1,0,94.1,0,0,0.7,1.8,0,0.1,0,94.1,0,0,0.7,1.8,0,0.1,0,105.55,0,0,0.7,1.8,0,0.1,0,117,0,0,0.7,1.8,0,0.1,0,123,19,13,0.7,0.1,0,0.1,0,129,0,0,0.7,0.1,0,0.1,0,126,0,0,0.7,0.1,0,0.1,0,123,8,8,10,11.3,2,1.23,1,131,172.5
0,0,0.7,1.8,0,0.1,0,79.36,0,0,0.7,1.8,0,0.1,0,86.73,0,0,0.7,1.8,0,0.1,0,94.1,0,0,0.7,1.8,0,0.1,0,105.55,0,0,0.7,1.8,0,0.1,0,105.55,0,0,0.7,1.8,0,0.1,0,117,0,0,0.7,1.8,0,0.1,0,123,19,13,0.7,0.1,0,0.1,0,129,0,0,0.7,0.1,0,0.1,0,126,0,0,0.7,0.1,0,0.1,0,123,8,8,10,11.3,2,1.23,1,131,0,0,1.15,0.8,1,1.23,5,172.5,214
0,0,0.7,1.8,0,0.1,0,86.73,0,0,0.7,1.8,0,0.1,0,94.1,0,0,0.7,1.8,0,0.1,0,105.55,0,0,0.7,1.8,0,0.1,0,117,0,0,0.7,1.8,0,0.1,0,117,0,0,0.7,1.8,0,0.1,0,123,19,13,0.7,0.1,0,0.1,0,129,0,0,0.7,0.1,0,0.1,0,126,0,0,0.7,0.1,0,0.1,0,123,8,8,10,11.3,2,1.23,1,131,0,0,1.15,0.8,1,1.23,5,172.5,0,0,1.15,0.8,1,1.23,5,214,469
0,0,0.7,1.8,0,0.1,0,94.1,0,0,0.7,1.8,0,0.1,0,105.55,0,0,0.7,1.8,0,0.1,0,117,0,0,0.7,1.8,0,0.1,0,123,0,0,0.7,1.8,0,0.1,0,123,19,13,0.7,0.1,0,0.1,0,129,0,0,0.7,0.1,0,0.1,0,126,0,0,0.7,0.1,0,0.1,0,123,8,8,10,11.3,2,1.23,1,131,0,0,1.15,0.8,1,1.23,5,172.5,0,0,1.15,0.8,1,1.23,5,214,0,1,0.9,0.4,0,0.1,0,469,557.79
0,0,0.7,1.8,0,0.1,0,105.55,0,0,0.7,1.8,0,0.1,0,117,0,0,0.7,1.8,0,0.1,0,123,19,13,0.7,0.1,0,0.1,0,129,19,13,0.7,0.1,0,0.1,0,129,0,0,0.7,0.1,0,0.1,0,126,0,0,0.7,0.1,0,0.1,0,123,8,8,10,11.3,2,1.23,1,131,0,0,1.15,0.8,1,1.23,5,172.5,0,0,1.15,0.8,1,1.23,5,214,0,1,0.9,0.4,0,0.1,0,469,1,1,0.9,0.4,0,0.1,0,557.79,547.25
